               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.035211,            0.012342,                   0,             0.47938,             0.89474,             0.56989,             0.40572,            0.029578,            0.009249,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.035843,            0.011852,                   0,             0.58415,             0.83041,             0.67118,             0.45872,             0.02997,           0.0089506,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,             0.03418,            0.012457,                   0,             0.49319,             0.88889,             0.53824,             0.37908,            0.028828,           0.0093533,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.035284,             0.01201,                   0,             0.47728,              0.9291,             0.54129,             0.37783,            0.030008,           0.0095256,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.034225,            0.011564,                   0,             0.48701,             0.84211,             0.52745,             0.37006,            0.029968,           0.0096868,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.033043,            0.011995,                   0,             0.48505,             0.89474,             0.57342,             0.39879,            0.030187,           0.0094866,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.032177,            0.011368,                   0,             0.43891,             0.94694,             0.47442,             0.33246,             0.02861,            0.010239,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.033111,             0.01225,                   0,             0.60596,             0.84211,             0.72657,             0.53291,            0.025701,           0.0086275,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.031982,            0.012028,                   0,             0.57648,             0.84795,             0.65569,             0.47707,            0.026455,            0.008906,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.032195,            0.011868,                   0,             0.49715,             0.96491,             0.61783,             0.44089,             0.02812,           0.0091757,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.031101,            0.011509,                   0,             0.44497,             0.92398,             0.45537,             0.32913,            0.028784,            0.010166,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.031197,            0.011411,                   0,             0.46288,             0.91228,             0.50145,             0.35655,             0.02818,            0.010367,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.030386,            0.011255,                   0,             0.55787,              0.8707,             0.62995,             0.46703,             0.02581,           0.0088489,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.031884,            0.011468,                   0,             0.47275,             0.91813,             0.48651,             0.35946,            0.027427,           0.0097722,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.031034,              0.0116,                   0,             0.50768,             0.90058,             0.54083,             0.38793,            0.028538,           0.0096328,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.029494,            0.011636,                   0,             0.48366,             0.95312,             0.53299,             0.38427,             0.02896,           0.0097166,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.030062,            0.011413,                   0,             0.55056,             0.82456,             0.66573,             0.48729,            0.026847,           0.0091563,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.028946,            0.011019,                   0,             0.44919,             0.93567,             0.48771,             0.33699,            0.029134,            0.010321,                   0,            0.004936,            0.004936,            0.004936
