               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.024521,           0.0071561,                   0,             0.97051,             0.97076,             0.97652,             0.74898,            0.019478,           0.0049919,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.024164,           0.0070828,                   0,             0.95977,             0.97656,             0.96897,             0.75757,            0.019518,            0.004951,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.023471,           0.0067292,                   0,             0.95479,              0.9883,             0.97743,             0.75154,            0.019045,           0.0047996,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,             0.02268,           0.0067877,                   0,             0.97654,             0.98246,             0.97678,              0.7568,            0.019341,           0.0046696,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.021999,           0.0066702,                   0,             0.97641,             0.97076,             0.96624,             0.73963,            0.018519,            0.004837,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.023207,           0.0067248,                   0,             0.96551,              0.9823,             0.96993,             0.74299,            0.019483,           0.0049269,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.021289,            0.006522,                   0,             0.97041,             0.95906,             0.97095,             0.76454,            0.018657,           0.0047411,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.021296,           0.0062312,                   0,              0.9709,             0.97661,             0.98469,             0.77025,            0.018446,           0.0045564,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.020772,           0.0065586,                   0,             0.97647,             0.97076,             0.98436,              0.7747,            0.017477,            0.004513,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.021774,           0.0063539,                   0,              0.9548,             0.98827,             0.97985,              0.7711,            0.018005,           0.0046268,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.021382,           0.0064084,                   0,             0.96476,             0.96491,             0.97296,             0.75356,            0.018809,           0.0046635,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.021046,           0.0062401,                   0,             0.97092,             0.97622,              0.9773,              0.7704,            0.017207,           0.0046355,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.020554,           0.0063401,                   0,             0.97674,             0.98244,             0.98042,             0.78789,               0.017,           0.0044773,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.019964,           0.0060256,                   0,             0.96551,             0.98246,             0.96996,             0.76785,            0.017333,            0.004448,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,             0.01949,            0.006187,                   0,             0.95479,              0.9883,             0.98019,             0.78412,            0.017036,           0.0044707,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.019003,           0.0060694,                   0,             0.94944,              0.9883,             0.98204,             0.78576,            0.016983,           0.0044562,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.019214,           0.0061624,                   0,             0.97638,             0.97076,             0.97499,              0.7866,             0.01645,           0.0043513,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.018258,           0.0061068,                   0,             0.97072,             0.97076,             0.97734,             0.79199,            0.015897,           0.0042527,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.017988,           0.0059024,                   0,             0.97633,             0.96489,             0.97696,             0.79559,            0.015994,           0.0042734,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.018205,           0.0060487,                   0,             0.97633,             0.96485,              0.9787,             0.79214,            0.016752,           0.0043038,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.017749,            0.005838,                   0,             0.94912,             0.98246,             0.97793,             0.79642,            0.016249,           0.0044469,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.017702,           0.0057824,                   0,             0.94407,              0.9883,             0.98045,             0.77888,            0.017507,           0.0045205,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.018027,           0.0056804,                   0,             0.95951,             0.97076,             0.97251,             0.78727,            0.016903,           0.0045776,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,             0.01736,           0.0058431,                   0,             0.94413,             0.98823,             0.97821,             0.79717,            0.016227,           0.0043948,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.016892,            0.005476,                   0,             0.94943,             0.98816,             0.97862,             0.78884,            0.016737,           0.0044498,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.016723,           0.0059829,                   0,             0.96511,             0.97066,             0.97988,             0.80363,            0.015667,           0.0042834,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.016379,           0.0053672,                   0,             0.97618,             0.95906,             0.98234,             0.80062,            0.016378,           0.0044386,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.015984,           0.0055972,                   0,             0.97633,             0.96482,             0.97726,             0.79654,            0.016166,           0.0042988,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.016053,           0.0055466,                   0,             0.95977,             0.97657,             0.98033,             0.80616,            0.016403,           0.0044047,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.015798,           0.0054671,                   0,             0.96511,             0.97071,             0.97855,              0.8019,            0.015736,           0.0043299,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.016005,           0.0055694,                   0,             0.97615,             0.95906,             0.97836,               0.807,            0.015574,           0.0042845,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.015616,           0.0054927,                   0,             0.95977,             0.97659,             0.97765,             0.80676,            0.015617,           0.0042212,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.016214,           0.0055268,                   0,             0.97633,             0.96476,              0.9792,             0.80339,            0.016056,           0.0041552,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.015159,           0.0051242,                   0,             0.96532,             0.97659,             0.97718,             0.79422,            0.015968,           0.0041712,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.015702,           0.0055378,                   0,             0.96506,             0.97076,             0.97564,             0.79848,            0.015328,           0.0042065,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.014708,           0.0052559,                   0,             0.97623,             0.96491,             0.98046,             0.80237,            0.015726,           0.0041939,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.014969,           0.0053362,                   0,             0.96507,             0.97661,             0.97903,             0.80396,            0.015381,           0.0041036,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.015039,           0.0052419,                   0,             0.97093,             0.97649,             0.97926,             0.79422,            0.015516,           0.0041744,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.014494,           0.0053582,                   0,             0.97076,              0.9707,             0.97619,             0.80241,            0.015277,           0.0042067,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.014867,           0.0052109,                   0,             0.97092,             0.97661,             0.98215,             0.81054,            0.015366,           0.0041887,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.014757,           0.0052904,                   0,             0.96551,             0.98246,             0.97875,             0.80411,            0.015259,           0.0041747,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.014562,           0.0051118,                   0,             0.97608,             0.97076,             0.98199,             0.81277,            0.015032,           0.0040861,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,              0.0145,           0.0054584,                   0,             0.96551,             0.98246,             0.98275,             0.80571,            0.015674,           0.0041904,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.013505,            0.005009,                   0,             0.96551,             0.98246,             0.98101,             0.80368,            0.015477,           0.0041679,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.014054,           0.0051079,                   0,             0.96552,             0.98246,              0.9808,             0.80418,            0.015594,           0.0041619,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.014107,           0.0049544,                   0,              0.9655,             0.98246,             0.98196,             0.80594,            0.015373,           0.0041119,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.013812,           0.0048807,                   0,                0.96,             0.98243,             0.97927,             0.81268,            0.015147,           0.0041347,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.013724,           0.0051934,                   0,             0.95999,             0.98246,             0.98085,             0.81407,            0.015133,           0.0040444,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.013861,           0.0050805,                   0,             0.97093,             0.97653,             0.98195,             0.81188,            0.015268,           0.0041917,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,             0.01338,           0.0050121,                   0,             0.97093,             0.97651,             0.98159,             0.81173,            0.015166,           0.0041638,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.013178,           0.0049976,                   0,             0.97654,             0.97661,             0.98211,             0.82053,            0.014761,           0.0039631,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.013713,           0.0049098,                   0,             0.97647,             0.97661,             0.98246,             0.81436,            0.015244,           0.0040899,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.013549,           0.0052229,                   0,             0.97064,             0.97076,             0.97981,             0.81715,            0.014957,           0.0040789,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.013405,            0.005014,                   0,             0.95453,             0.98246,             0.98011,             0.82339,            0.014698,           0.0040694,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.013137,            0.005118,                   0,             0.96552,             0.98245,             0.98031,             0.81392,             0.01491,           0.0040189,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.013151,           0.0049494,                   0,                0.96,             0.98243,             0.97919,             0.82208,            0.014669,           0.0039403,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.013252,           0.0048974,                   0,             0.96532,             0.97659,             0.97982,             0.82092,            0.014536,           0.0039476,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.012608,            0.004862,                   0,              0.9653,             0.97661,             0.97945,             0.81413,            0.014953,           0.0040348,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.013127,           0.0050088,                   0,             0.96552,             0.98243,             0.98014,             0.82224,             0.01467,            0.004066,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.012885,           0.0048549,                   0,             0.96552,             0.98245,             0.97935,             0.82179,            0.014746,           0.0040527,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,             0.01332,           0.0050493,                   0,             0.95999,             0.98246,             0.97747,             0.82097,            0.014593,           0.0040493,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,            0.013103,           0.0048986,                   0,             0.96512,             0.97075,             0.97592,             0.80728,            0.014865,           0.0040359,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.012805,           0.0048161,                   0,                0.96,             0.98244,             0.97965,             0.81956,            0.014633,           0.0039689,                   0,           0.0010089,           0.0010089,           0.0010089
