               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11247,            0.020795,                   0,           0.0012251,            0.093567,          0.00070121,           0.0001272,             0.09421,            0.019332,                   0,             0.00046,             0.00046,             0.09586
                   1,            0.098421,            0.020832,                   0,           0.0017818,             0.12281,          0.00095407,          0.00017742,            0.086068,            0.018795,                   0,          0.00092998,          0.00092998,             0.09163
                   2,             0.08968,            0.022321,                   0,           0.0038577,             0.24561,           0.0022769,          0.00043682,            0.077487,            0.019342,                   0,           0.0013999,           0.0013999,              0.0874
                   3,            0.083015,            0.022435,                   0,            0.015609,             0.25731,            0.011091,            0.002059,            0.072763,            0.018575,                   0,           0.0018696,           0.0018696,             0.08317
                   4,            0.075316,            0.021156,                   0,             0.19129,             0.43275,             0.14926,            0.032887,            0.062841,            0.016969,                   0,           0.0023391,           0.0023391,            0.078939
                   5,            0.069436,            0.019222,                   0,             0.25147,             0.52047,             0.26883,            0.080587,            0.060321,            0.015035,                   0,           0.0028083,           0.0028083,            0.074708
                   6,            0.065708,            0.017446,                   0,             0.41715,             0.53801,             0.45526,             0.16807,            0.052092,             0.01437,                   0,           0.0032771,           0.0032771,            0.070477
                   7,            0.062222,            0.016994,                   0,              0.3676,             0.66966,              0.4192,             0.16771,            0.053528,            0.013031,                   0,           0.0037455,           0.0037455,            0.066245
                   8,            0.059048,            0.016212,                   0,             0.75406,             0.78893,             0.80825,             0.32287,            0.043202,            0.012476,                   0,           0.0042133,           0.0042133,            0.062013
                   9,            0.056718,            0.015842,                   0,             0.38907,             0.75439,             0.39711,             0.17377,            0.049615,             0.01232,                   0,           0.0046806,           0.0046806,            0.057781
                  10,            0.055941,            0.014983,                   0,             0.43054,             0.83563,             0.45119,             0.17802,            0.047722,            0.012266,                   0,           0.0051473,           0.0051473,            0.053547
                  11,            0.056165,            0.015547,                   0,             0.36806,             0.74251,             0.41697,             0.18097,            0.045167,            0.011718,                   0,           0.0056132,           0.0056132,            0.049313
                  12,            0.055694,            0.014548,                   0,             0.42503,              0.8655,              0.4164,             0.20935,             0.04343,            0.012048,                   0,           0.0060784,           0.0060784,            0.045078
                  13,            0.054886,            0.014638,                   0,             0.55437,             0.74269,              0.5949,             0.30545,            0.041815,            0.011087,                   0,           0.0065426,           0.0065426,            0.040843
                  14,             0.05135,            0.013872,                   0,             0.45258,             0.92398,             0.50089,             0.21952,            0.046783,            0.010632,                   0,            0.007006,            0.007006,            0.036606
                  15,            0.051022,            0.013203,                   0,               0.466,             0.89474,             0.51542,             0.27328,            0.042752,            0.010782,                   0,           0.0074684,           0.0074684,            0.032368
